State,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Texas,0,0,0,0,0,0,0,0,0,0,0
Florida,0,0,0,0,0,0,0,0,0,0,0
California,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3
Arizona,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,2.59,2.5
Missouri,6,6,6,6,6,5.9,5.9,5.4,5.4,5.4,5.4
Illinois,5,5,5,5,5,4.95,4.95,4.95,4.95,4.95,4.95
Indiana,3.4,3.4,3.3,3.3,3.23,3.23,3.23,3.23,3.23,3.23,3.23
Oklahoma,5.25,5.25,5.25,5.25,5,5,5,5,5,5,4.75
Nebraska,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84
Virginia,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75
Maryland,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75
Massachusetts,5.25,5.25,5.2,5.15,5.1,5.1,5.05,5.05,5,5,5
New York,6.85,6.85,6.85,6.85,6.85,6.85,6.85,6.85,6.85,6.85,6.85
New Jersey,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37
South Carolina,7,7,7,7,7,7,7,7,7,7,7
Oregon,9,9,9,9,9,9,9,9,9,9,9
