Year,Region,State,Total Returns,Top Origin 1,Returns 1,Top Origin 2,Returns 2,Top Origin 3,Returns 3,Top Origin 4,Returns 4
2012,West,Oklahoma,42183,Texas,10381,Arkansas,2909,Kansas,2932,Missouri,2068
2012,West,Nebraska,20216,Iowa,3087,Colorado,1467,Texas,1427,California,1374
2012,Mid-Atlantic,Virginia,119231,Maryland,12836,North Carolina,10956,Florida,11067,New York,7645
2012,Mid-Atlantic,Maryland,79647,Virginia,12836,District of Columbia,9434,Pennsylvania,7258,Florida,6006
2012,Northeast,Massachusetts,67822,New York,8673,Florida,7851,New Hampshire,6121,Connecticut,4924
2012,Northeast,New York,167262,New Jersey,25516,Florida,25658,Pennsylvania,13422,California,13473
2012,Northeast,New Jersey,90339,New York,25516,Pennsylvania,13519,Florida,10383,California,3994
2012,South,Texas,263008,California,27381,Florida,32967,Louisiana,13431,Oklahoma,10628
2012,South,Florida,308884,New York,33519,Georgia,26495,Texas,19369,New Jersey,14835
2012,South,South Carolina,68514,North Carolina,12208,Georgia,8710,Florida,7305,New York,4138
2012,Pacific,California,253909,Texas,21828,Arizona,18138,Washington,16446,Nevada,15728
2012,Pacific,Oregon,53736,California,12838,Washington,11105,Arizona,2538,Texas,2107
2012,Pacific,Arizona,98730,California,18897,Texas,6402,Washington,5451,Colorado,4405
2012,Midwest,Missouri,61299,Kansas,9601,Illinois,8117,Texas,4353,California,3525
2012,Midwest,Indiana,58375,Illinois,10609,Florida,5178,Kentucky,5183,Ohio,4703
2012,Midwest,Illinois,103645,Indiana,8869,Wisconsin,6940,Missouri,6434,Florida,8141
2013,West,Oklahoma,"40,068",Texas,"10,628",Arkansas,"2,713",California,"2,573",Kansas,"2,275"
2013,West,Nebraska,"21,385",Iowa,"2,884",Colorado,"1,831",Texas,"1,766",California,"1,277"
2013,Mid-Atlantic,Virginia,"119,369",Maryland,"12,625",North Carolina,"12,157",Florida,"12,086",California,"7,846"
2013,Mid-Atlantic,Maryland,"81,624",Virginia,"12,836",District of Columbia,"8,842",Pennsylvania,"7,086",Florida,"7,285"
2013,Northeast,Massachusetts,"72,255",New York,"8,032",Florida,"9,781",New Hampshire,"6,983",California,"6,602"
2013,Northeast,New York,209490,New Jersey,30974,Florida,33519,California,16661,Pennsylvania,15880
2013,Northeast,New Jersey,107415,New York,30974,Pennsylvania,15907,Florida,14835,California,5777
2013,South,Texas,199440,California,21828,Florida,19369,Oklahoma,10381,Louisiana,10326
2013,South,Florida,302232,New York,33519,Georgia,29485,Texas,19369,New Jersey,14835
2013,South,South Carolina,58463,North Carolina,11326,Georgia,7849,Florida,6595,New York,2761
2013,Pacific,California,252373,Texas,27381,Arizona,18897,Washington,17062,Nevada,19313
2013,Pacific,Oregon,48458,California,9747,Washington,11902,Arizona,2824,Texas,2251
2013,Pacific,Arizona,88221,California,18138,Texas,7770,Colorado,4572,Washington,4438
